// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Projects\MediatrPerformance\bin\Release\net7.0\10fc8b39-275d-429d-b1cb-b1db3f080786
// command took 1.47s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Projects\MediatrPerformance\bin\Release\net7.0\10fc8b39-275d-429d-b1cb-b1db3f080786
// command took 6.79s and exited with 0
// ***** Done, took 00:00:08 (8.38 sec)   *****
// Found 2 benchmarks:
//   MediatrBenchmark.Mediatr: DefaultJob
//   MediatrBenchmark.Direct: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MediatrBenchmark.Mediatr: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 10fc8b39-275d-429d-b1cb-b1db3f080786.dll --anonymousPipes 1948 2044 --benchmarkName MediatrPerformance.MediatrBenchmark.Mediatr --job Default --benchmarkId 0 in C:\Projects\MediatrPerformance\bin\Release\net7.0\10fc8b39-275d-429d-b1cb-b1db3f080786\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.3 (7.0.323.6910), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 780800.00 ns, 780.8000 us/op
WorkloadJitting  1: 1 op, 8093000.00 ns, 8.0930 ms/op

OverheadJitting  2: 16 op, 513300.00 ns, 32.0812 us/op
WorkloadJitting  2: 16 op, 4091600.00 ns, 255.7250 us/op

WorkloadPilot    1: 16 op, 84800.00 ns, 5.3000 us/op
WorkloadPilot    2: 32 op, 87600.00 ns, 2.7375 us/op
WorkloadPilot    3: 64 op, 96200.00 ns, 1.5031 us/op
WorkloadPilot    4: 128 op, 177600.00 ns, 1.3875 us/op
WorkloadPilot    5: 256 op, 1617200.00 ns, 6.3172 us/op
WorkloadPilot    6: 512 op, 587400.00 ns, 1.1473 us/op
WorkloadPilot    7: 1024 op, 990400.00 ns, 967.1875 ns/op
WorkloadPilot    8: 2048 op, 3122000.00 ns, 1.5244 us/op
WorkloadPilot    9: 4096 op, 3741700.00 ns, 913.5010 ns/op
WorkloadPilot   10: 8192 op, 7590000.00 ns, 926.5137 ns/op
WorkloadPilot   11: 16384 op, 8649600.00 ns, 527.9297 ns/op
WorkloadPilot   12: 32768 op, 34157100.00 ns, 1.0424 us/op
WorkloadPilot   13: 65536 op, 70047100.00 ns, 1.0688 us/op
WorkloadPilot   14: 131072 op, 100983300.00 ns, 770.4414 ns/op
WorkloadPilot   15: 262144 op, 147437900.00 ns, 562.4310 ns/op
WorkloadPilot   16: 524288 op, 195848600.00 ns, 373.5516 ns/op
WorkloadPilot   17: 1048576 op, 326892700.00 ns, 311.7492 ns/op
WorkloadPilot   18: 2097152 op, 541957800.00 ns, 258.4256 ns/op

OverheadWarmup   1: 2097152 op, 8084000.00 ns, 3.8548 ns/op
OverheadWarmup   2: 2097152 op, 7864000.00 ns, 3.7498 ns/op
OverheadWarmup   3: 2097152 op, 10089100.00 ns, 4.8109 ns/op
OverheadWarmup   4: 2097152 op, 8493800.00 ns, 4.0502 ns/op
OverheadWarmup   5: 2097152 op, 7842300.00 ns, 3.7395 ns/op
OverheadWarmup   6: 2097152 op, 7984900.00 ns, 3.8075 ns/op
OverheadWarmup   7: 2097152 op, 8016400.00 ns, 3.8225 ns/op
OverheadWarmup   8: 2097152 op, 8246700.00 ns, 3.9323 ns/op
OverheadWarmup   9: 2097152 op, 8140700.00 ns, 3.8818 ns/op

OverheadActual   1: 2097152 op, 6531700.00 ns, 3.1146 ns/op
OverheadActual   2: 2097152 op, 8240300.00 ns, 3.9293 ns/op
OverheadActual   3: 2097152 op, 7828700.00 ns, 3.7330 ns/op
OverheadActual   4: 2097152 op, 8040000.00 ns, 3.8338 ns/op
OverheadActual   5: 2097152 op, 7866200.00 ns, 3.7509 ns/op
OverheadActual   6: 2097152 op, 8473900.00 ns, 4.0407 ns/op
OverheadActual   7: 2097152 op, 7720800.00 ns, 3.6816 ns/op
OverheadActual   8: 2097152 op, 7687800.00 ns, 3.6658 ns/op
OverheadActual   9: 2097152 op, 8574400.00 ns, 4.0886 ns/op
OverheadActual  10: 2097152 op, 6113900.00 ns, 2.9153 ns/op
OverheadActual  11: 2097152 op, 8313300.00 ns, 3.9641 ns/op
OverheadActual  12: 2097152 op, 6130300.00 ns, 2.9232 ns/op
OverheadActual  13: 2097152 op, 7791400.00 ns, 3.7152 ns/op
OverheadActual  14: 2097152 op, 7914000.00 ns, 3.7737 ns/op
OverheadActual  15: 2097152 op, 7473800.00 ns, 3.5638 ns/op
OverheadActual  16: 2097152 op, 8173100.00 ns, 3.8972 ns/op
OverheadActual  17: 2097152 op, 7754900.00 ns, 3.6978 ns/op
OverheadActual  18: 2097152 op, 8997300.00 ns, 4.2902 ns/op
OverheadActual  19: 2097152 op, 7585700.00 ns, 3.6171 ns/op
OverheadActual  20: 2097152 op, 7773100.00 ns, 3.7065 ns/op

WorkloadWarmup   1: 2097152 op, 529601600.00 ns, 252.5337 ns/op
WorkloadWarmup   2: 2097152 op, 473569700.00 ns, 225.8156 ns/op
WorkloadWarmup   3: 2097152 op, 475613900.00 ns, 226.7904 ns/op
WorkloadWarmup   4: 2097152 op, 512556900.00 ns, 244.4062 ns/op
WorkloadWarmup   5: 2097152 op, 429604500.00 ns, 204.8514 ns/op
WorkloadWarmup   6: 2097152 op, 479293700.00 ns, 228.5450 ns/op
WorkloadWarmup   7: 2097152 op, 504340300.00 ns, 240.4882 ns/op
WorkloadWarmup   8: 2097152 op, 739912500.00 ns, 352.8178 ns/op
WorkloadWarmup   9: 2097152 op, 761391600.00 ns, 363.0598 ns/op
WorkloadWarmup  10: 2097152 op, 875118900.00 ns, 417.2892 ns/op
WorkloadWarmup  11: 2097152 op, 622930400.00 ns, 297.0364 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 523299200.00 ns, 249.5285 ns/op
WorkloadActual   2: 2097152 op, 471048100.00 ns, 224.6132 ns/op
WorkloadActual   3: 2097152 op, 469373900.00 ns, 223.8149 ns/op
WorkloadActual   4: 2097152 op, 458125800.00 ns, 218.4514 ns/op
WorkloadActual   5: 2097152 op, 463795700.00 ns, 221.1550 ns/op
WorkloadActual   6: 2097152 op, 467379900.00 ns, 222.8641 ns/op
WorkloadActual   7: 2097152 op, 461527800.00 ns, 220.0736 ns/op
WorkloadActual   8: 2097152 op, 490380500.00 ns, 233.8316 ns/op
WorkloadActual   9: 2097152 op, 480543400.00 ns, 229.1409 ns/op
WorkloadActual  10: 2097152 op, 439726000.00 ns, 209.6777 ns/op
WorkloadActual  11: 2097152 op, 428599000.00 ns, 204.3719 ns/op
WorkloadActual  12: 2097152 op, 495617600.00 ns, 236.3289 ns/op
WorkloadActual  13: 2097152 op, 434349900.00 ns, 207.1142 ns/op
WorkloadActual  14: 2097152 op, 501775700.00 ns, 239.2653 ns/op
WorkloadActual  15: 2097152 op, 429733200.00 ns, 204.9128 ns/op
WorkloadActual  16: 2097152 op, 500491000.00 ns, 238.6527 ns/op
WorkloadActual  17: 2097152 op, 430886200.00 ns, 205.4626 ns/op
WorkloadActual  18: 2097152 op, 497748900.00 ns, 237.3452 ns/op
WorkloadActual  19: 2097152 op, 459302600.00 ns, 219.0125 ns/op
WorkloadActual  20: 2097152 op, 429056200.00 ns, 204.5899 ns/op
WorkloadActual  21: 2097152 op, 483655300.00 ns, 230.6248 ns/op
WorkloadActual  22: 2097152 op, 432737400.00 ns, 206.3453 ns/op
WorkloadActual  23: 2097152 op, 473513500.00 ns, 225.7888 ns/op
WorkloadActual  24: 2097152 op, 475948000.00 ns, 226.9497 ns/op
WorkloadActual  25: 2097152 op, 428514000.00 ns, 204.3314 ns/op
WorkloadActual  26: 2097152 op, 492864600.00 ns, 235.0162 ns/op
WorkloadActual  27: 2097152 op, 433687700.00 ns, 206.7984 ns/op
WorkloadActual  28: 2097152 op, 435151800.00 ns, 207.4965 ns/op
WorkloadActual  29: 2097152 op, 455307200.00 ns, 217.1074 ns/op
WorkloadActual  30: 2097152 op, 450500800.00 ns, 214.8155 ns/op
WorkloadActual  31: 2097152 op, 345864200.00 ns, 164.9209 ns/op
WorkloadActual  32: 2097152 op, 331116400.00 ns, 157.8886 ns/op
WorkloadActual  33: 2097152 op, 330344500.00 ns, 157.5205 ns/op
WorkloadActual  34: 2097152 op, 331056900.00 ns, 157.8602 ns/op
WorkloadActual  35: 2097152 op, 347117700.00 ns, 165.5186 ns/op
WorkloadActual  36: 2097152 op, 329867000.00 ns, 157.2928 ns/op
WorkloadActual  37: 2097152 op, 345151300.00 ns, 164.5810 ns/op
WorkloadActual  38: 2097152 op, 332959300.00 ns, 158.7674 ns/op
WorkloadActual  39: 2097152 op, 338010400.00 ns, 161.1759 ns/op
WorkloadActual  40: 2097152 op, 377722700.00 ns, 180.1122 ns/op
WorkloadActual  41: 2097152 op, 399190800.00 ns, 190.3490 ns/op
WorkloadActual  42: 2097152 op, 467291600.00 ns, 222.8220 ns/op
WorkloadActual  43: 2097152 op, 437457900.00 ns, 208.5962 ns/op
WorkloadActual  44: 2097152 op, 420272100.00 ns, 200.4014 ns/op
WorkloadActual  45: 2097152 op, 435065300.00 ns, 207.4553 ns/op
WorkloadActual  46: 2097152 op, 387202000.00 ns, 184.6323 ns/op
WorkloadActual  47: 2097152 op, 388019800.00 ns, 185.0223 ns/op
WorkloadActual  48: 2097152 op, 342382800.00 ns, 163.2608 ns/op
WorkloadActual  49: 2097152 op, 336906900.00 ns, 160.6497 ns/op
WorkloadActual  50: 2097152 op, 343870900.00 ns, 163.9704 ns/op
WorkloadActual  51: 2097152 op, 351587700.00 ns, 167.6501 ns/op
WorkloadActual  52: 2097152 op, 347056900.00 ns, 165.4896 ns/op
WorkloadActual  53: 2097152 op, 336049300.00 ns, 160.2408 ns/op
WorkloadActual  54: 2097152 op, 334902800.00 ns, 159.6941 ns/op
WorkloadActual  55: 2097152 op, 329694500.00 ns, 157.2106 ns/op
WorkloadActual  56: 2097152 op, 329501500.00 ns, 157.1186 ns/op
WorkloadActual  57: 2097152 op, 327950800.00 ns, 156.3791 ns/op
WorkloadActual  58: 2097152 op, 398974500.00 ns, 190.2459 ns/op
WorkloadActual  59: 2097152 op, 506232200.00 ns, 241.3903 ns/op
WorkloadActual  60: 2097152 op, 528864900.00 ns, 252.1824 ns/op
WorkloadActual  61: 2097152 op, 431982100.00 ns, 205.9851 ns/op
WorkloadActual  62: 2097152 op, 347561900.00 ns, 165.7304 ns/op
WorkloadActual  63: 2097152 op, 324883300.00 ns, 154.9164 ns/op
WorkloadActual  64: 2097152 op, 343677900.00 ns, 163.8784 ns/op
WorkloadActual  65: 2097152 op, 344807100.00 ns, 164.4168 ns/op
WorkloadActual  66: 2097152 op, 337443200.00 ns, 160.9055 ns/op
WorkloadActual  67: 2097152 op, 343817600.00 ns, 163.9450 ns/op
WorkloadActual  68: 2097152 op, 341562600.00 ns, 162.8697 ns/op
WorkloadActual  69: 2097152 op, 327725900.00 ns, 156.2719 ns/op
WorkloadActual  70: 2097152 op, 344961100.00 ns, 164.4903 ns/op
WorkloadActual  71: 2097152 op, 343261300.00 ns, 163.6797 ns/op
WorkloadActual  72: 2097152 op, 335541400.00 ns, 159.9986 ns/op
WorkloadActual  73: 2097152 op, 333280900.00 ns, 158.9207 ns/op
WorkloadActual  74: 2097152 op, 335679000.00 ns, 160.0642 ns/op
WorkloadActual  75: 2097152 op, 329705000.00 ns, 157.2156 ns/op
WorkloadActual  76: 2097152 op, 329890100.00 ns, 157.3039 ns/op
WorkloadActual  77: 2097152 op, 334233100.00 ns, 159.3748 ns/op
WorkloadActual  78: 2097152 op, 329752300.00 ns, 157.2381 ns/op
WorkloadActual  79: 2097152 op, 336328100.00 ns, 160.3737 ns/op
WorkloadActual  80: 2097152 op, 338707400.00 ns, 161.5083 ns/op
WorkloadActual  81: 2097152 op, 340460400.00 ns, 162.3442 ns/op
WorkloadActual  82: 2097152 op, 330141900.00 ns, 157.4239 ns/op
WorkloadActual  83: 2097152 op, 334125200.00 ns, 159.3233 ns/op
WorkloadActual  84: 2097152 op, 334070500.00 ns, 159.2972 ns/op
WorkloadActual  85: 2097152 op, 329503700.00 ns, 157.1196 ns/op
WorkloadActual  86: 2097152 op, 331156700.00 ns, 157.9078 ns/op
WorkloadActual  87: 2097152 op, 334524100.00 ns, 159.5135 ns/op
WorkloadActual  88: 2097152 op, 332808100.00 ns, 158.6953 ns/op
WorkloadActual  89: 2097152 op, 331787700.00 ns, 158.2087 ns/op
WorkloadActual  90: 2097152 op, 334163900.00 ns, 159.3418 ns/op
WorkloadActual  91: 2097152 op, 337051100.00 ns, 160.7185 ns/op
WorkloadActual  92: 2097152 op, 348219200.00 ns, 166.0439 ns/op
